,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG
306,SAS,NOH,2008-05-15,2007,80,99,1,0.0,12.8,0.0,13.452631578947368
307,PHI,DET,2008-04-09,2007,94,101,1,12.694897959183676,22.73469387755102,18.690816326530612,21.0
308,NOH,GSW,2008-04-06,2007,96,108,1,39.53333333333333,24.43125,48.26666666666666,23.2875
309,PHI,SAC,2007-12-14,2007,109,99,0,,,,
310,PHI,WAS,2007-11-30,2007,84,85,1,,,,
311,NOH,UTA,2008-04-08,2007,77,66,0,28.325,20.833333333333336,29.65,26.85416666666667
312,MEM,LAL,2008-01-08,2007,117,101,0,,,,
313,PHI,NYK,2007-12-07,2007,90,101,1,,,,
314,DEN,NOH,2007-11-04,2007,93,88,0,,,,
315,DEN,NJN,2008-01-25,2007,85,100,1,,,,
316,MEM,NJN,2008-03-05,2007,93,100,1,,,,
317,MEM,BOS,2008-03-08,2007,119,89,0,,,,
318,BOS,NYK,2007-11-29,2007,59,104,1,,,,
319,MEM,CHA,2008-03-17,2007,80,98,1,,,,
320,NOH,LAL,2008-03-14,2007,98,108,1,25.264285714285712,32.31979166666667,28.392857142857146,27.863541666666666
321,SAS,CLE,2008-01-17,2007,90,88,0,,,,
322,MEM,SAC,2008-03-22,2007,111,117,1,24.31875,27.70833333333333,21.28125,19.791666666666664
323,SAS,NYK,2008-01-04,2007,93,97,1,,,,
324,NOH,CHI,2008-03-17,2007,97,108,1,,,,
325,MEM,DEN,2008-03-24,2007,120,106,0,33.159375000000004,26.891489361702128,27.1125,25.838297872340426
326,DEN,WAS,2008-02-08,2007,100,111,1,,,,
327,NOH,SAS,2008-03-12,2007,75,100,1,18.68571428571429,11.020408163265307,25.17857142857143,6.731632653061224
328,BOS,DAL,2008-01-31,2007,90,96,1,,,,
329,NOH,ATL,2008-03-05,2007,101,116,1,,,,
330,BOS,MIA,2007-11-16,2007,91,92,1,,,,
331,DEN,NOH,2007-12-12,2007,99,105,1,16.47659574468085,16.953061224489794,13.838297872340426,13.885714285714286
332,NOH,LAL,2008-01-09,2007,109,80,0,,,,
333,MEM,DAL,2008-01-28,2007,103,84,0,,,,
334,MEM,SEA,2008-01-18,2007,100,124,1,24.316666666666666,10.638297872340424,16.233333333333334,14.180851063829786
335,NOH,HOU,2008-03-19,2007,69,90,1,18.645744680851067,12.342708333333334,23.745744680851068,9.633333333333333
336,MEM,HOU,2007-12-28,2007,103,83,0,10.416666666666668,0.0,9.468750000000002,0.0
337,DEN,UTA,2008-02-06,2007,118,115,0,35.947916666666664,14.67391304347826,31.597916666666666,15.221739130434782
338,SAS,HOU,2008-03-30,2007,88,109,1,0.0,12.5,0.0,13.6875
339,MEM,LAC,2008-01-26,2007,120,125,1,10.416666666666668,8.236956521739131,8.854166666666668,5.4391304347826095
340,DEN,ATL,2008-01-23,2007,100,107,1,,,,
341,MEM,ORL,2008-01-23,2007,112,85,0,,,,
342,SAS,POR,2007-10-30,2007,97,106,1,,,,
343,MEM,CHI,2008-01-21,2007,90,104,1,,,,
344,SAS,LAL,2008-01-23,2007,91,103,1,0.0,11.142857142857144,0.0,19.340816326530614
345,MEM,CLE,2008-01-15,2007,132,124,0,,,,
346,DEN,MIN,2008-01-19,2007,108,111,1,11.739795918367347,6.959183673469387,11.219387755102039,9.234693877551019
